country_name,city_name,nominal_num_bikes,cityhall,launch_date,closed_date,timezone,operator,operator_name,system_type,system_website,technology
USA,Philadelphia,1041,City of Philadelphia,2015-04-23,,America/New_York,Bicycle Transit Systems,Indego,Dock-based,https://www.rideindego.com/,BCycle
USA,Phoenix/Tempe,703,Phoenix (& others),2014-11-25,2021-01-15,America/Phoenix,CycleHop,Grid,Hybrid,http://gridbikes.com/,SoBi
USA,Pioneer Valley,100,Pioneer Valley Planning Commission,2018-06-28,,America/New_York,Corps Logistics,ValleyBike,Dock-based,https://www.valleybike.org/,Bewegen
USA,Pittsburgh,300,Pittsburgh Bike Share,2015-05-31,,America/New_York,Pittsburgh Bike Share,Healthy Ride Pittsburgh,Dock-based,https://healthyridepgh.com/,nextbike
USA,Portland,846,Portland Bureau of Transportation,2016-07-19,,America/Los_Angeles,Motivate,BIKETOWN,Hybrid, https://www.biketownpdx.com/,SoBi
USA,Portland Skip,300,Portland,,,America/Los_Angeles,Skip,Skip,Hybrid,https://skipscooters.com/,Skip
USA,Princeton University,50,,,2020-06-12,America/New_York,Zagster,Princeton,Dock-based,http://zagster.com/princeton/,Zagster
USA,Raleigh,170,City of Raleigh,2019-03-16,,America/New_York,Bewegen,Citrix Cycle,Dock-based,https://www.citrixcycle.com/,Bewegen
USA,Richmond,134,,2017-08-28,,America/New_York,Corps Logistics,RVA Bike Share,Dock-based,https://www.rvabikes.com/,Bewegen
USA,Rio Grande Valley,50,,,,America/Chicago,Zagster,Bike Share RGV,Dock-based,http://zagster.com/rgvbikeshare/,Zagster
USA,Rio Grande Valley,64,City of McAllen,,,America/Chicago,BCycle,RGV BCycle,Dock-based,https://mcallen.bcycle.com/,BCycle
USA,Roanoke,50,,,,America/New_York,Zagster,"Roanoke, VA",Dock-based,http://zagster.com/ridesolutions/,Zagster
USA,Salem,50,,,,America/New_York,Zagster,"Salem, MA",Dock-based,http://zagster.com/salem/,Zagster
USA,Salt Lake City,301,,,,America/Denver,,GREENbike,, http://www.greenbikeslc.org/,
USA,San Antonio,440,City of San Antonio,2011-03-26,,America/Chicago,San Antonio BCycle,San Antonio BCycle,Dock-based,https://sanantonio.bcycle.com/,B-cycle
USA,San Diego,560,City of San Diego,2014-10-30,,America/Los_Angeles,DecoBike,Discover Bike,Dock-based,http://www.discoverbikesandiego.com/,DecoBike
USA,San Diego,9,,,,America/Los_Angeles,Spin,Spin,Dock-based,,Spin
USA,San Francisco,2970,San Francisco Bay Area Metropolitan Transportation Commission,2013-08-29,,America/Los_Angeles,Lyft,Bay Wheels,Dock-based,https://www.lyft.com/bikes/bay-wheels,PBSC
USA,San Jose,967,San Francisco Bay Area Metropolitan Transportation Commission,2013-08-29,,America/Los_Angeles,Lyft,Bay Wheels,Dock-based,https://www.lyft.com/bikes/bay-wheels,PBSC
